data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1353866,562,NIR601,601,26-Feb-18,2018,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,NGuigmi,N Guigmi,Tchingoa,14.2942,13.4133,1,Menastream,Other,"On February 26, presumed Boko Haram militants killed two civilians and abducted a girl in Tchingoa.",2,1524053819,NER
1353863,562,NIR600,600,26-Feb-18,2018,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.32,12.61,2,Menastream,Other,"On February 26, presumed Boko Haram militants severely wounded two civilians amidst an attempt to abduct a girl in Wouloua.",0,1524053819,NER
1354096,562,NIR585,85,25-Feb-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Niamey,Niamey,Lamorde,Niamey,13.52,2.12,1,Agence France Presse; RFI; Xinhua,International,Thousands of people took to the streets of Niamey to protest against the 2018 finance law and the presence of foreign military bases on Nigerien soil.,0,1524053819,NER
1354097,562,NIR586,86,25-Feb-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Zinder,Mirriah,Gouna,Zinder,13.65,9.1833,1,Agence France Presse; Xinhua,International,People took to the streets of Zinder to protest against the 2018 finance law and the presence of foreign military bases on Nigerien soil.,0,1524053819,NER
1354098,562,NIR587,87,25-Feb-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Maradi,Madarounfa,Mjiratawa,Maradi,13.5,7.1017,1,Agence France Presse; Xinhua,International,People took to the streets of Maradi to protest against the 2018 finance law and the presence of foreign military bases on Nigerien soil.,0,1524053819,NER
1354099,562,NIR588,88,25-Feb-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Tillabery,Tillabery,Sinder,Tillabery,14.2117,1.4531,1,Agence France Presse; Xinhua,International,People took to the streets of Tillabery to protest against the 2018 finance law and the presence of foreign military bases on Nigerien soil.,0,1524053819,NER
1354100,562,NIR589,89,25-Feb-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Tahoua,Tahoua,Tahoua,Tahoua,14.8888,5.2692,1,Agence France Presse; Xinhua,International,People took to the streets of Tahoua to protest against the 2018 finance law and the presence of foreign military bases on Nigerien soil.,0,1524053819,NER
1354101,562,NIR590,90,25-Feb-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Dosso,Dosso,Dosso,Dosso,13.049,3.1937,1,Agence France Presse; Xinhua,International,People took to the streets of Dosso to protest against the 2018 finance law and the presence of foreign military bases on Nigerien soil.,0,1524053819,NER
1354722,562,NIR598,598,22-Feb-18,2018,1,Violence against civilians,Military Forces of Niger (2011-),,1,Civilians (Niger),,7,17,Western Africa,Niger,Diffa,NGuigmi,N Guigmi,Nguigmi,14.2495,13.1092,1,Menastream,Other,"On February 22, Soldiers shot dead a suspect individual who approached a military position in Nguigmi.",1,1524053821,NER
1354721,562,NIR599,599,22-Feb-18,2018,1,Violence against civilians,Unidentified Armed Group (Niger),,3,Civilians (Niger),,7,37,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.32,12.61,2,Menastream,Other,"On February 22, unknown gunmen shot dead a civilian in Modi-Kauri.",1,1524053821,NER
1355380,562,NIR597,597,19-Feb-18,2018,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Diffa,Chetimari,Chetimari,13.1822,12.4223,2,Menastream,Other,"On February 19, presumed Boko Haram militants abducted three civilians, beat and released them in the area of Chetimari.",0,1524053821,NER
